,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
2.41,0.464,0.448,-0.894,2.078,4.287,6.365,,,,,,,,,,,,,,,,,,,
2.42,0.444,0.429,-0.903,1.9,4.466,6.366,,,,,,,,,,,,,,,,,,,
2.43,0.423,0.41,-0.912,1.726,4.641,6.367,,,,,,,,,,,,,,,,,,,
2.44,0.401,0.39,-0.921,1.557,4.812,6.368,,,,,,,,,,,,,,,,,,,
2.45,0.379,0.37,-0.929,1.393,4.976,6.369,,,,,,,,,,,,,,,,,,,
2.46,0.357,0.349,-0.937,1.236,5.134,6.37,,,,,,,,,,,,,,,,,,,
2.47,0.334,0.328,-0.945,1.085,5.286,6.371,,,,,,,,,,,,,,,,,,,
2.48,0.311,0.306,-0.952,0.942,5.429,6.371,,,,,,,,,,,,,,,,,,,
2.49,0.288,0.284,-0.959,0.807,5.565,6.372,,,,,,,,,,,,,,,,,,,
2.5,0.264,0.261,-0.965,0.681,5.691,6.372,,,,,,,,,,,,,,,,,,,
2.51,0.24,0.238,-0.971,0.564,5.808,6.372,,,,,,,,,,,,,,,,,,,
2.52,0.216,0.215,-0.977,0.457,5.916,6.373,,,,,,,,,,,,,,,,,,,
2.53,0.192,0.191,-0.982,0.36,6.012,6.373,,,,,,,,,,,,,,,,,,,
2.54,0.167,0.167,-0.986,0.274,6.098,6.373,,,,,,,,,,,,,,,,,,,
2.55,0.143,0.142,-0.99,0.2,6.173,6.373,,,,,,,,,,,,,,,,,,,
2.56,0.118,0.118,-0.993,0.136,6.237,6.373,,,,,,,,,,,,,,,,,,,
2.57,0.093,0.093,-0.996,0.085,6.288,6.373,,,,,,,,,,,,,,,,,,,
2.58,0.068,0.068,-0.998,0.045,6.328,6.373,,,,,,,,,,,,,,,,,,,
2.59,0.043,0.043,-0.999,0.018,6.355,6.373,,,,,,,,,,,,,,,,,,,
2.6,0.017,0.017,-1,0.003,6.37,6.373,,,,,,,,,,,,,,,,,,,
2.61,-0.008,-0.008,-1,0.001,6.372,6.372,,,,,,,,,,,,,,,,,,,
2.62,-0.033,-0.033,-0.999,0.011,6.362,6.372,,,,,,,,,,,,,,,,,,,
2.63,-0.058,-0.058,-0.998,0.033,6.339,6.372,,,,,,,,,,,,,,,,,,,
2.64,-0.083,-0.083,-0.997,0.068,6.304,6.372,,,,,,,,,,,,,,,,,,,
2.65,-0.108,-0.108,-0.994,0.115,6.257,6.372,,,,,,,,,,,,,,,,,,,
2.66,-0.134,-0.133,-0.991,0.175,6.197,6.372,,,,,,,,,,,,,,,,,,,
2.67,-0.158,-0.158,-0.987,0.246,6.126,6.372,,,,,,,,,,,,,,,,,,,
2.68,-0.183,-0.182,-0.983,0.328,6.044,6.372,,,,,,,,,,,,,,,,,,,
2.69,-0.208,-0.206,-0.978,0.422,5.95,6.372,,,,,,,,,,,,,,,,,,,
2.7,-0.232,-0.23,-0.973,0.526,5.846,6.373,,,,,,,,,,,,,,,,,,,
2.71,-0.256,-0.254,-0.967,0.641,5.732,6.373,,,,,,,,,,,,,,,,,,,
2.72,-0.28,-0.277,-0.961,0.765,5.608,6.373,,,,,,,,,,,,,,,,,,,
2.73,-0.304,-0.299,-0.954,0.899,5.474,6.374,,,,,,,,,,,,,,,,,,,
2.74,-0.327,-0.322,-0.947,1.042,5.332,6.374,,,,,,,,,,,,,,,,,,,
2.75,-0.35,-0.343,-0.939,1.192,5.183,6.375,,,,,,,,,,,,,,,,,,,
2.76,-0.373,-0.365,-0.931,1.35,5.025,6.376,,,,,,,,,,,,,,,,,,,
2.77,-0.396,-0.385,-0.923,1.515,4.861,6.377,,,,,,,,,,,,,,,,,,,
2.78,-0.418,-0.406,-0.914,1.686,4.691,6.378,,,,,,,,,,,,,,,,,,,
2.79,-0.439,-0.425,-0.905,1.863,4.516,6.379,,,,,,,,,,,,,,,,,,,
2.8,-0.461,-0.444,-0.896,2.044,4.336,6.38,,,,,,,,,,,,,,,,,,,
2.81,-0.481,-0.463,-0.886,2.23,4.152,6.382,,,,,,,,,,,,,,,,,,,
2.82,-0.502,-0.481,-0.877,2.418,3.965,6.383,,,,,,,,,,,,,,,,,,,
2.83,-0.522,-0.498,-0.867,2.61,3.775,6.385,,,,,,,,,,,,,,,,,,,
2.84,-0.541,-0.515,-0.857,2.803,3.584,6.387,,,,,,,,,,,,,,,,,,,
2.85,-0.56,-0.531,-0.847,2.997,3.392,6.389,,,,,,,,,,,,,,,,,,,
2.86,-0.578,-0.547,-0.837,3.192,3.199,6.391,,,,,,,,,,,,,,,,,,,
2.87,-0.596,-0.562,-0.827,3.386,3.007,6.394,,,,,,,,,,,,,,,,,,,
2.88,-0.614,-0.576,-0.818,3.58,2.816,6.396,,,,,,,,,,,,,,,,,,,
2.89,-0.63,-0.59,-0.808,3.772,2.627,6.399,,,,,,,,,,,,,,,,,,,
2.9,-0.647,-0.603,-0.798,3.961,2.44,6.402,,,,,,,,,,,,,,,,,,,
2.91,-0.662,-0.615,-0.789,4.148,2.257,6.405,,,,,,,,,,,,,,,,,,,
2.92,-0.677,-0.627,-0.779,4.331,2.077,6.408,,,,,,,,,,,,,,,,,,,
2.93,-0.692,-0.638,-0.77,4.51,1.902,6.411,,,,,,,,,,,,,,,,,,,
2.94,-0.706,-0.648,-0.761,4.684,1.731,6.415,,,,,,,,,,,,,,,,,,,
2.95,-0.719,-0.658,-0.753,4.852,1.566,6.419,,,,,,,,,,,,,,,,,,,
2.96,-0.731,-0.668,-0.744,5.015,1.407,6.422,,,,,,,,,,,,,,,,,,,
2.97,-0.743,-0.677,-0.736,5.172,1.255,6.426,,,,,,,,,,,,,,,,,,,
2.98,-0.754,-0.685,-0.729,5.321,1.109,6.431,,,,,,,,,,,,,,,,,,,
2.99,-0.765,-0.692,-0.722,5.464,0.971,6.435,,,,,,,,,,,,,,,,,,,
3,-0.775,-0.699,-0.715,5.598,0.841,6.439,,,,,,,,,,,,,,,,,,,
3.01,-0.784,-0.706,-0.708,5.725,0.719,6.444,,,,,,,,,,,,,,,,,,,
3.02,-0.792,-0.712,-0.702,5.843,0.606,6.448,,,,,,,,,,,,,,,,,,,
3.03,-0.8,-0.717,-0.697,5.952,0.501,6.453,,,,,,,,,,,,,,,,,,,
3.04,-0.807,-0.722,-0.692,6.052,0.406,6.458,,,,,,,,,,,,,,,,,,,
3.05,-0.814,-0.727,-0.687,6.142,0.321,6.463,,,,,,,,,,,,,,,,,,,
3.06,-0.819,-0.731,-0.683,6.223,0.245,6.468,,,,,,,,,,,,,,,,,,,
3.07,-0.824,-0.734,-0.679,6.294,0.179,6.473,,,,,,,,,,,,,,,,,,,
3.08,-0.828,-0.737,-0.676,6.355,0.123,6.478,,,,,,,,,,,,,,,,,,,
3.09,-0.832,-0.739,-0.673,6.406,0.077,6.483,,,,,,,,,,,,,,,,,,,
3.1,-0.835,-0.741,-0.671,6.446,0.042,6.489,,,,,,,,,,,,,,,,,,,
3.11,-0.837,-0.742,-0.67,6.476,0.018,6.494,,,,,,,,,,,,,,,,,,,
3.12,-0.838,-0.743,-0.669,6.496,0.004,6.499,,,,,,,,,,,,,,,,,,,
3.13,-0.839,-0.744,-0.668,6.504,0,6.504,,,,,,,,,,,,,,,,,,,
3.14,-0.838,-0.744,-0.669,6.502,0.007,6.51,,,,,,,,,,,,,,,,,,,
3.15,-0.838,-0.743,-0.669,6.49,0.025,6.515,,,,,,,,,,,,,,,,,,,
3.16,-0.836,-0.742,-0.67,6.467,0.054,6.52,,,,,,,,,,,,,,,,,,,
3.17,-0.834,-0.74,-0.672,6.433,0.093,6.526,,,,,,,,,,,,,,,,,,,
3.18,-0.831,-0.738,-0.674,6.389,0.142,6.531,,,,,,,,,,,,,,,,,,,
3.19,-0.827,-0.736,-0.677,6.334,0.202,6.536,,,,,,,,,,,,,,,,,,,
3.2,-0.822,-0.733,-0.68,6.269,0.272,6.541,,,,,,,,,,,,,,,,,,,
3.21,-0.817,-0.729,-0.684,6.195,0.352,6.546,,,,,,,,,,,,,,,,,,,
3.22,-0.811,-0.725,-0.689,6.11,0.441,6.551,,,,,,,,,,,,,,,,,,,
3.23,-0.805,-0.721,-0.693,6.016,0.54,6.556,,,,,,,,,,,,,,,,,,,
3.24,-0.797,-0.715,-0.699,5.912,0.649,6.561,,,,,,,,,,,,,,,,,,,
3.25,-0.789,-0.71,-0.704,5.8,0.766,6.566,,,,,,,,,,,,,,,,,,,
3.26,-0.78,-0.704,-0.711,5.678,0.892,6.57,,,,,,,,,,,,,,,,,,,
3.27,-0.771,-0.697,-0.717,5.549,1.026,6.574,,,,,,,,,,,,,,,,,,,
3.28,-0.761,-0.69,-0.724,5.411,1.168,6.579,,,,,,,,,,,,,,,,,,,
3.29,-0.75,-0.682,-0.732,5.266,1.317,6.583,,,,,,,,,,,,,,,,,,,
3.3,-0.739,-0.673,-0.739,5.113,1.474,6.587,,,,,,,,,,,,,,,,,,,
3.31,-0.726,-0.664,-0.748,4.954,1.637,6.591,,,,,,,,,,,,,,,,,,,
3.32,-0.714,-0.655,-0.756,4.788,1.806,6.595,,,,,,,,,,,,,,,,,,,
3.33,-0.7,-0.644,-0.765,4.617,1.981,6.598,,,,,,,,,,,,,,,,,,,
3.34,-0.686,-0.634,-0.774,4.44,2.161,6.602,,,,,,,,,,,,,,,,,,,
3.35,-0.671,-0.622,-0.783,4.259,2.346,6.605,,,,,,,,,,,,,,,,,,,
3.36,-0.656,-0.61,-0.792,4.074,2.534,6.608,,,,,,,,,,,,,,,,,,,
3.37,-0.64,-0.597,-0.802,3.886,2.725,6.611,,,,,,,,,,,,,,,,,,,
3.38,-0.624,-0.584,-0.812,3.694,2.919,6.614,,,,,,,,,,,,,,,,,,,
3.39,-0.607,-0.57,-0.822,3.501,3.115,6.616,,,,,,,,,,,,,,,,,,,
3.4,-0.589,-0.556,-0.832,3.306,3.313,6.619,,,,,,,,,,,,,,,,,,,
3.41,-0.571,-0.54,-0.841,3.11,3.511,6.621,,,,,,,,,,,,,,,,,,,
3.42,-0.552,-0.524,-0.851,2.914,3.709,6.623,,,,,,,,,,,,,,,,,,,
3.43,-0.533,-0.508,-0.861,2.719,3.906,6.625,,,,,,,,,,,,,,,,,,,
3.44,-0.513,-0.491,-0.871,2.526,4.101,6.627,,,,,,,,,,,,,,,,,,,
3.45,-0.493,-0.473,-0.881,2.334,4.294,6.628,,,,,,,,,,,,,,,,,,,
3.46,-0.472,-0.455,-0.891,2.146,4.484,6.63,,,,,,,,,,,,,,,,,,,
3.47,-0.451,-0.436,-0.9,1.961,4.671,6.631,,,,,,,,,,,,,,,,,,,
3.48,-0.429,-0.416,-0.909,1.78,4.852,6.632,,,,,,,,,,,,,,,,,,,
3.49,-0.407,-0.396,-0.918,1.605,5.029,6.634,,,,,,,,,,,,,,,,,,,
3.5,-0.385,-0.375,-0.927,1.435,5.2,6.634,,,,,,,,,,,,,,,,,,,
3.51,-0.362,-0.354,-0.935,1.272,5.364,6.635,,,,,,,,,,,,,,,,,,,
3.52,-0.339,-0.332,-0.943,1.116,5.52,6.636,,,,,,,,,,,,,,,,,,,
3.53,-0.315,-0.31,-0.951,0.968,5.669,6.637,,,,,,,,,,,,,,,,,,,
3.54,-0.292,-0.287,-0.958,0.828,5.809,6.637,,,,,,,,,,,,,,,,,,,
3.55,-0.267,-0.264,-0.964,0.697,5.94,6.637,,,,,,,,,,,,,,,,,,,
3.56,-0.243,-0.241,-0.971,0.577,6.061,6.638,,,,,,,,,,,,,,,,,,,
3.57,-0.218,-0.217,-0.976,0.466,6.172,6.638,,,,,,,,,,,,,,,,,,,
3.58,-0.194,-0.192,-0.981,0.367,6.272,6.638,,,,,,,,,,,,,,,,,,,
3.59,-0.169,-0.168,-0.986,0.278,6.36,6.638,,,,,,,,,,,,,,,,,,,
3.6,-0.143,-0.143,-0.99,0.201,6.437,6.638,,,,,,,,,,,,,,,,,,,
3.61,-0.118,-0.118,-0.993,0.136,6.502,6.638,,,,,,,,,,,,,,,,,,,
3.62,-0.092,-0.092,-0.996,0.084,6.554,6.638,,,,,,,,,,,,,,,,,,,
3.63,-0.067,-0.067,-0.998,0.044,6.594,6.638,,,,,,,,,,,,,,,,,,,
3.64,-0.041,-0.041,-0.999,0.017,6.621,6.638,,,,,,,,,,,,,,,,,,,
3.65,-0.015,-0.015,-1,0.002,6.636,6.638,,,,,,,,,,,,,,,,,,,
3.66,0.01,0.01,-1,0.001,6.637,6.638,,,,,,,,,,,,,,,,,,,
3.67,0.036,0.036,-0.999,0.013,6.625,6.638,,,,,,,,,,,,,,,,,,,
3.68,0.062,0.062,-0.998,0.037,6.6,6.638,,,,,,,,,,,,,,,,,,,
3.69,0.087,0.087,-0.996,0.075,6.562,6.637,,,,,,,,,,,,,,,,,,,
3.7,0.113,0.113,-0.994,0.125,6.512,6.637,,,,,,,,,,,,,,,,,,,
3.71,0.139,0.138,-0.99,0.188,6.449,6.637,,,,,,,,,,,,,,,,,,,
3.72,0.164,0.163,-0.987,0.263,6.374,6.637,,,,,,,,,,,,,,,,,,,
3.73,0.189,0.188,-0.982,0.35,6.287,6.637,,,,,,,,,,,,,,,,,,,
3.74,0.214,0.213,-0.977,0.449,6.189,6.638,,,,,,,,,,,,,,,,,,,
3.75,0.239,0.237,-0.972,0.559,6.079,6.638,,,,,,,,,,,,,,,,,,,
3.76,0.264,0.261,-0.965,0.679,5.959,6.638,,,,,,,,,,,,,,,,,,,
3.77,0.288,0.284,-0.959,0.81,5.829,6.639,,,,,,,,,,,,,,,,,,,
3.78,0.312,0.307,-0.952,0.95,5.689,6.639,,,,,,,,,,,,,,,,,,,
3.79,0.336,0.33,-0.944,1.099,5.541,6.64,,,,,,,,,,,,,,,,,,,
3.8,0.36,0.352,-0.936,1.256,5.384,6.64,,,,,,,,,,,,,,,,,,,
3.81,0.383,0.374,-0.928,1.422,5.219,6.641,,,,,,,,,,,,,,,,,,,
3.82,0.406,0.395,-0.919,1.594,5.048,6.642,,,,,,,,,,,,,,,,,,,
3.83,0.428,0.415,-0.91,1.772,4.871,6.643,,,,,,,,,,,,,,,,,,,
3.84,0.45,0.435,-0.9,1.957,4.688,6.644,,,,,,,,,,,,,,,,,,,
3.85,0.472,0.455,-0.891,2.146,4.5,6.646,,,,,,,,,,,,,,,,,,,
3.86,0.493,0.474,-0.881,2.339,4.308,6.647,,,,,,,,,,,,,,,,,,,
3.87,0.514,0.492,-0.871,2.535,4.113,6.649,,,,,,,,,,,,,,,,,,,
3.88,0.534,0.509,-0.861,2.735,3.916,6.651,,,,,,,,,,,,,,,,,,,
3.89,0.554,0.526,-0.85,2.936,3.717,6.653,,,,,,,,,,,,,,,,,,,
3.9,0.573,0.542,-0.84,3.138,3.517,6.655,,,,,,,,,,,,,,,,,,,
3.91,0.592,0.558,-0.83,3.34,3.317,6.657,,,,,,,,,,,,,,,,,,,
3.92,0.61,0.573,-0.819,3.542,3.117,6.66,,,,,,,,,,,,,,,,,,,
3.93,0.628,0.588,-0.809,3.743,2.919,6.662,,,,,,,,,,,,,,,,,,,
3.94,0.645,0.601,-0.799,3.943,2.722,6.665,,,,,,,,,,,,,,,,,,,
3.95,0.662,0.614,-0.789,4.139,2.529,6.668,,,,,,,,,,,,,,,,,,,
3.96,0.677,0.627,-0.779,4.333,2.338,6.671,,,,,,,,,,,,,,,,,,,
3.97,0.693,0.639,-0.769,4.523,2.152,6.674,,,,,,,,,,,,,,,,,,,
3.98,0.707,0.65,-0.76,4.708,1.97,6.678,,,,,,,,,,,,,,,,,,,
3.99,0.721,0.66,-0.751,4.889,1.793,6.682,,,,,,,,,,,,,,,,,,,
4,0.735,0.67,-0.742,5.064,1.622,6.685,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
Time,Alpha,Sx,Sy,Ep,Ek,Ec,,2kg,1m,-9.81,0.1,0.01s,4s,,,,,,,,,,,,
0,0.785,0.707,-0.708,5.737,0.005,5.742,,,,,,,,,,,,,,,,,,,
0.01,0.783,0.706,-0.709,5.718,0.019,5.737,,,,,,,,,,,,,,,,,,,
0.02,0.781,0.704,-0.71,5.689,0.043,5.732,,,,,,,,,,,,,,,,,,,
0.03,0.778,0.702,-0.712,5.651,0.076,5.727,,,,,,,,,,,,,,,,,,,
0.04,0.775,0.7,-0.714,5.603,0.119,5.722,,,,,,,,,,,,,,,,,,,
0.05,0.771,0.697,-0.717,5.547,0.171,5.718,,,,,,,,,,,,,,,,,,,
0.06,0.766,0.693,-0.721,5.481,0.232,5.713,,,,,,,,,,,,,,,,,,,
0.07,0.761,0.689,-0.724,5.407,0.301,5.708,,,,,,,,,,,,,,,,,,,
0.08,0.754,0.685,-0.729,5.323,0.38,5.703,,,,,,,,,,,,,,,,,,,
0.09,0.748,0.68,-0.733,5.232,0.466,5.698,,,,,,,,,,,,,,,,,,,
0.1,0.74,0.674,-0.738,5.133,0.561,5.693,,,,,,,,,,,,,,,,,,,
0.11,0.732,0.668,-0.744,5.025,0.663,5.688,,,,,,,,,,,,,,,,,,,
0.12,0.723,0.662,-0.75,4.91,0.773,5.683,,,,,,,,,,,,,,,,,,,
0.13,0.714,0.655,-0.756,4.789,0.89,5.678,,,,,,,,,,,,,,,,,,,
0.14,0.704,0.647,-0.762,4.66,1.013,5.673,,,,,,,,,,,,,,,,,,,
0.15,0.693,0.639,-0.769,4.525,1.143,5.668,,,,,,,,,,,,,,,,,,,
0.16,0.682,0.63,-0.777,4.384,1.279,5.663,,,,,,,,,,,,,,,,,,,
0.17,0.67,0.621,-0.784,4.238,1.42,5.658,,,,,,,,,,,,,,,,,,,
0.18,0.657,0.611,-0.792,4.087,1.566,5.653,,,,,,,,,,,,,,,,,,,
0.19,0.644,0.6,-0.8,3.931,1.717,5.648,,,,,,,,,,,,,,,,,,,
0.2,0.63,0.589,-0.808,3.771,1.871,5.642,,,,,,,,,,,,,,,,,,,
0.21,0.616,0.578,-0.816,3.608,2.029,5.637,,,,,,,,,,,,,,,,,,,
0.22,0.601,0.566,-0.825,3.442,2.19,5.632,,,,,,,,,,,,,,,,,,,
0.23,0.586,0.553,-0.833,3.274,2.353,5.627,,,,,,,,,,,,,,,,,,,
0.24,0.57,0.54,-0.842,3.103,2.518,5.621,,,,,,,,,,,,,,,,,,,
0.25,0.554,0.526,-0.851,2.932,2.684,5.616,,,,,,,,,,,,,,,,,,,
0.26,0.537,0.511,-0.859,2.76,2.851,5.611,,,,,,,,,,,,,,,,,,,
0.27,0.519,0.496,-0.868,2.588,3.017,5.605,,,,,,,,,,,,,,,,,,,
0.28,0.502,0.481,-0.877,2.417,3.183,5.6,,,,,,,,,,,,,,,,,,,
0.29,0.483,0.465,-0.885,2.247,3.347,5.594,,,,,,,,,,,,,,,,,,,
0.3,0.465,0.448,-0.894,2.08,3.51,5.589,,,,,,,,,,,,,,,,,,,
0.31,0.445,0.431,-0.902,1.914,3.669,5.584,,,,,,,,,,,,,,,,,,,
0.32,0.426,0.413,-0.911,1.752,3.826,5.578,,,,,,,,,,,,,,,,,,,
0.33,0.406,0.395,-0.919,1.594,3.979,5.573,,,,,,,,,,,,,,,,,,,
0.34,0.386,0.376,-0.927,1.44,4.127,5.567,,,,,,,,,,,,,,,,,,,
0.35,0.365,0.357,-0.934,1.292,4.27,5.562,,,,,,,,,,,,,,,,,,,
0.36,0.344,0.337,-0.941,1.149,4.407,5.556,,,,,,,,,,,,,,,,,,,
0.37,0.323,0.317,-0.948,1.012,4.539,5.551,,,,,,,,,,,,,,,,,,,
0.38,0.301,0.296,-0.955,0.882,4.663,5.545,,,,,,,,,,,,,,,,,,,
0.39,0.279,0.275,-0.961,0.759,4.78,5.54,,,,,,,,,,,,,,,,,,,
0.4,0.257,0.254,-0.967,0.644,4.89,5.534,,,,,,,,,,,,,,,,,,,
0.41,0.235,0.232,-0.973,0.538,4.991,5.529,,,,,,,,,,,,,,,,,,,
0.42,0.212,0.21,-0.978,0.44,5.084,5.523,,,,,,,,,,,,,,,,,,,
0.43,0.189,0.188,-0.982,0.351,5.167,5.518,,,,,,,,,,,,,,,,,,,
0.44,0.166,0.166,-0.986,0.271,5.241,5.512,,,,,,,,,,,,,,,,,,,
0.45,0.143,0.143,-0.99,0.201,5.305,5.507,,,,,,,,,,,,,,,,,,,
0.46,0.12,0.12,-0.993,0.142,5.36,5.501,,,,,,,,,,,,,,,,,,,
0.47,0.097,0.097,-0.995,0.092,5.404,5.496,,,,,,,,,,,,,,,,,,,
0.48,0.074,0.074,-0.997,0.053,5.437,5.49,,,,,,,,,,,,,,,,,,,
0.49,0.05,0.05,-0.999,0.025,5.46,5.485,,,,,,,,,,,,,,,,,,,
0.5,0.027,0.027,-1,0.007,5.472,5.479,,,,,,,,,,,,,,,,,,,
0.51,0.003,0.003,-1,0,5.474,5.474,,,,,,,,,,,,,,,,,,,
0.52,-0.02,-0.02,-1,0.004,5.464,5.468,,,,,,,,,,,,,,,,,,,
0.53,-0.043,-0.043,-0.999,0.018,5.444,5.463,,,,,,,,,,,,,,,,,,,
0.54,-0.067,-0.067,-0.998,0.043,5.414,5.457,,,,,,,,,,,,,,,,,,,
0.55,-0.09,-0.09,-0.996,0.079,5.373,5.452,,,,,,,,,,,,,,,,,,,
0.56,-0.113,-0.113,-0.994,0.125,5.322,5.446,,,,,,,,,,,,,,,,,,,
0.57,-0.136,-0.135,-0.991,0.181,5.26,5.441,,,,,,,,,,,,,,,,,,,
0.58,-0.159,-0.158,-0.987,0.246,5.189,5.436,,,,,,,,,,,,,,,,,,,
0.59,-0.181,-0.18,-0.984,0.321,5.109,5.43,,,,,,,,,,,,,,,,,,,
0.6,-0.204,-0.202,-0.979,0.405,5.019,5.425,,,,,,,,,,,,,,,,,,,
0.61,-0.226,-0.224,-0.975,0.498,4.921,5.419,,,,,,,,,,,,,,,,,,,
0.62,-0.248,-0.245,-0.969,0.599,4.815,5.414,,,,,,,,,,,,,,,,,,,
0.63,-0.269,-0.266,-0.964,0.708,4.701,5.409,,,,,,,,,,,,,,,,,,,
0.64,-0.291,-0.287,-0.958,0.824,4.579,5.403,,,,,,,,,,,,,,,,,,,
0.65,-0.312,-0.307,-0.952,0.947,4.451,5.398,,,,,,,,,,,,,,,,,,,
0.66,-0.333,-0.327,-0.945,1.076,4.316,5.392,,,,,,,,,,,,,,,,,,,
0.67,-0.353,-0.346,-0.938,1.211,4.176,5.387,,,,,,,,,,,,,,,,,,,
0.68,-0.373,-0.365,-0.931,1.351,4.031,5.382,,,,,,,,,,,,,,,,,,,
0.69,-0.393,-0.383,-0.924,1.496,3.881,5.376,,,,,,,,,,,,,,,,,,,
0.7,-0.412,-0.401,-0.916,1.644,3.727,5.371,,,,,,,,,,,,,,,,,,,
0.71,-0.431,-0.418,-0.908,1.796,3.57,5.366,,,,,,,,,,,,,,,,,,,
0.72,-0.45,-0.435,-0.901,1.95,3.41,5.361,,,,,,,,,,,,,,,,,,,
0.73,-0.468,-0.451,-0.893,2.107,3.248,5.355,,,,,,,,,,,,,,,,,,,
0.74,-0.485,-0.466,-0.885,2.265,3.085,5.35,,,,,,,,,,,,,,,,,,,
0.75,-0.502,-0.482,-0.876,2.424,2.921,5.345,,,,,,,,,,,,,,,,,,,
0.76,-0.519,-0.496,-0.868,2.584,2.756,5.34,,,,,,,,,,,,,,,,,,,
0.77,-0.535,-0.51,-0.86,2.742,2.592,5.335,,,,,,,,,,,,,,,,,,,
0.78,-0.551,-0.523,-0.852,2.901,2.429,5.33,,,,,,,,,,,,,,,,,,,
